2026-01-20 13:34:46 | edumind.text_chunker | DEBUG    | text_chunker.py:90 | Created chunk 5: 28 chars
2026-01-20 13:34:46 | edumind.text_chunker | DEBUG    | text_chunker.py:90 | Created chunk 6: 26 chars
2026-01-20 13:34:46 | edumind.text_chunker | DEBUG    | text_chunker.py:90 | Created chunk 7: 26 chars
2026-01-20 13:34:46 | edumind.text_chunker | DEBUG    | text_chunker.py:90 | Created chunk 8: 25 chars
2026-01-20 13:34:46 | edumind.text_chunker | DEBUG    | text_chunker.py:90 | Created chunk 9: 24 chars
2026-01-20 13:34:46 | edumind.text_chunker | DEBUG    | text_chunker.py:90 | Created chunk 10: 39 chars
2026-01-20 13:34:46 | edumind.text_chunker | DEBUG    | text_chunker.py:90 | Created chunk 11: 38 chars
2026-01-20 13:34:46 | edumind.text_chunker | DEBUG    | text_chunker.py:90 | Created chunk 12: 37 chars
2026-01-20 13:34:46 | edumind.text_chunker | DEBUG    | text_chunker.py:90 | Created chunk 13: 36 chars
2026-01-20 13:34:46 | edumind.text_chunker | DEBUG    | text_chunker.py:90 | Created chunk 14: 35 chars
2026-01-20 13:34:46 | edumind.text_chunker | DEBUG    | text_chunker.py:90 | Created chunk 15: 34 chars
2026-01-20 13:34:46 | edumind.text_chunker | DEBUG    | text_chunker.py:90 | Created chunk 16: 32 chars
2026-01-20 13:34:46 | edumind.text_chunker | DEBUG    | text_chunker.py:90 | Created chunk 17: 32 chars
2026-01-20 13:34:46 | edumind.text_chunker | DEBUG    | text_chunker.py:90 | Created chunk 18: 31 chars
2026-01-20 13:34:46 | edumind.text_chunker | DEBUG    | text_chunker.py:90 | Created chunk 19: 30 chars
2026-01-20 13:34:46 | edumind.text_chunker | DEBUG    | text_chunker.py:90 | Created chunk 20: 29 chars
2026-01-20 13:34:46 | edumind.text_chunker | DEBUG    | text_chunker.py:90 | Created chunk 21: 28 chars
2026-01-20 13:34:46 | edumind.text_chunker | DEBUG    | text_chunker.py:90 | Created chunk 22: 27 chars
2026-01-20 13:34:46 | edumind.text_chunker | DEBUG    | text_chunker.py:90 | Created chunk 23: 25 chars
2026-01-20 13:34:46 | edumind.text_chunker | DEBUG    | text_chunker.py:90 | Created chunk 24: 25 chars
2026-01-20 13:34:46 | edumind.text_chunker | DEBUG    | text_chunker.py:90 | Created chunk 25: 24 chars
2026-01-20 13:34:46 | edumind.text_chunker | DEBUG    | text_chunker.py:90 | Created chunk 26: 40 chars
2026-01-20 13:34:46 | edumind.text_chunker | INFO     | text_chunker.py:98 | Split text into 26 chunks (avg: 30 chars)
2026-01-20 13:34:46 | edumind.text_chunker | DEBUG    | text_chunker.py:90 | Created chunk 1: 27 chars
2026-01-20 13:34:46 | edumind.text_chunker | DEBUG    | text_chunker.py:90 | Created chunk 2: 26 chars
2026-01-20 13:34:46 | edumind.text_chunker | DEBUG    | text_chunker.py:90 | Created chunk 3: 25 chars
2026-01-20 13:34:46 | edumind.text_chunker | DEBUG    | text_chunker.py:90 | Created chunk 4: 24 chars
2026-01-20 13:34:46 | edumind.text_chunker | DEBUG    | text_chunker.py:90 | Created chunk 5: 43 chars
2026-01-20 13:34:46 | edumind.text_chunker | DEBUG    | text_chunker.py:90 | Created chunk 6: 42 chars
2026-01-20 13:34:46 | edumind.text_chunker | DEBUG    | text_chunker.py:90 | Created chunk 7: 41 chars
